order_id,order_date,customer_id,product_name,category,quantity,unit_price,discount,total_sales,region
36,2022-11-02,C1460,Headphones,Electronics,7,570.05,0.14,3431.7,Asia Pacific
37,2021-05-05,C1080,Smartphone,Electronics,3,229.35,0.12,605.48,Europe
38,2021-01-23,C1147,Face Cream,Beauty,7,88.09,0.24,468.64,North America
39,2021-11-13,C1802,Laptop,Electronics,1,371.87,0.17,308.65,North America
40,2023-02-26,C130,Comics,Books,4,27.77,0.2,88.86,Europe
41,2021-05-31,C1975,Cushion,Home Decor,1,68.44,0.19,55.44,North America
42,2022-05-06,C428,Lamp,Home Decor,5,82.18,0.07,382.14,Asia Pacific
43,2022-05-24,C1189,Hoodie,Clothing,9,45.19,0.21,321.3,Europe
44,2023-05-27,C946,Laptop,Electronics,6,1399.96,0.09,7643.78,Europe
45,2022-06-24,C953,Dumbbells,Sports,2,251.27,0.04,482.44,North America
46,2022-10-15,C1820,Jeans,Clothing,7,63.44,0.06,417.44,Middle East
47,2022-04-28,C1268,Cap,Accessories,4,45.26,0.03,175.61,Middle East
48,2024-09-05,C1811,Smartwatch,Electronics,6,1009.65,0.2,4846.32,Middle East
49,2021-10-27,C1623,Laptop,Electronics,1,1073.91,0.09,977.26,North America
50,2022-12-13,C945,Perfume,Beauty,5,26.57,0.3,92.99,North America
51,2021-02-17,C1862,Milk,Grocery,3,3.37,0.01,10.01,Asia Pacific
52,2022-01-25,C1895,Rice,Grocery,7,5.29,0.29,26.29,Middle East
53,2022-06-23,C757,Smartwatch,Electronics,8,252.45,0.2,1615.68,Asia Pacific
54,2024-01-13,C1460,Smartphone,Electronics,3,1432.5,0.22,3352.05,North America
55,2022-01-03,C709,Foundation,Beauty,9,108.11,0.3,681.09,Asia Pacific
56,2024-07-19,C1306,Dumbbells,Sports,4,189.5,0.29,538.18,Europe
57,2022-12-22,C1437,Novel,Books,4,12.12,0.07,45.09,Middle East
58,2021-01-21,C653,Rice,Grocery,5,8.11,0.18,33.25,Europe
59,2022-11-26,C451,Milk,Grocery,1,14.32,0.05,13.6,Europe
60,2022-11-30,C982,Wallet,Accessories,4,73.72,0.24,224.11,Middle East
61,2021-07-27,C187,Jeans,Clothing,1,105.13,0.13,91.46,Asia Pacific
62,2022-02-01,C186,T-Shirt,Clothing,4,33.68,0.18,110.47,Europe
63,2024-11-26,C1520,Tennis Racket,Sports,8,205.74,0.19,1333.2,Middle East
64,2023-09-02,C1873,Handbag,Accessories,3,70.3,0.2,168.72,North America
65,2022-11-19,C1381,Hoodie,Clothing,2,129.16,0.13,224.74,North America
66,2023-04-21,C1410,Comics,Books,4,37.85,0.01,149.89,North America
67,2022-06-07,C1047,Serum,Beauty,2,66.25,0.1,119.25,Europe
68,2021-10-12,C1680,Laptop,Electronics,6,484.26,0.11,2585.95,Europe
69,2024-05-30,C1188,Jacket,Clothing,4,88.04,0.13,306.38,Europe
70,2022-11-28,C1762,Cap,Accessories,8,40.86,0.03,317.07,North America
71,2022-01-06,C351,Novel,Books,3,7.8,0.14,20.12,Asia Pacific
72,2021-12-03,C1437,Magazine,Books,6,25.22,0.02,148.29,Asia Pacific
73,2023-10-23,C462,Comics,Books,3,25.48,0.1,68.8,Asia Pacific
74,2023-10-23,C581,Comics,Books,8,27.02,0.04,207.51,Europe
75,2024-01-28,C1643,Hoodie,Clothing,9,69.62,0.02,614.05,Europe
76,2023-06-22,C804,Foundation,Beauty,7,112.29,0.21,620.96,Middle East
77,2021-09-22,C360,Wallet,Accessories,4,38.53,0.14,132.54,North America
78,2021-12-19,C1247,Foundation,Beauty,4,92.62,0.1,333.43,Asia Pacific
79,2022-12-16,C1221,Dumbbells,Sports,3,75.03,0.1,202.58,Asia Pacific
80,2022-06-25,C383,Jacket,Clothing,7,102.13,0.14,614.82,Europe
81,2021-03-07,C1210,Belt,Accessories,5,36.87,0.04,176.98,Middle East
82,2021-11-15,C1341,Tablet,Electronics,7,710.44,0.04,4774.16,North America
83,2022-02-26,C1432,Cricket Bat,Sports,9,31.53,0.02,278.09,Europe
84,2022-10-01,C464,Pasta,Grocery,1,14.7,0.06,13.82,Europe
85,2024-10-16,C92,Lipstick,Beauty,3,98.41,0.29,209.61,Asia Pacific
86,2023-05-21,C1494,Yoga Mat,Sports,4,167.65,0.1,603.54,Middle East
87,2022-04-15,C1419,T-Shirt,Clothing,6,80.15,0.17,399.15,North America
88,2022-11-19,C1135,Vase,Home Decor,6,70.74,0.17,352.29,Europe
89,2021-05-07,C729,Hoodie,Clothing,9,82.22,0.14,636.38,Asia Pacific
90,2023-08-23,C1751,Cricket Bat,Sports,3,273.62,0.1,738.77,North America
91,2022-07-29,C240,Football,Sports,1,40.35,0.15,34.3,Europe
92,2023-11-18,C1988,Handbag,Accessories,3,33.95,0.0,101.85,Middle East
93,2024-07-16,C1996,Magazine,Books,1,25.36,0.07,23.58,Asia Pacific
94,2022-04-17,C1594,Wallet,Accessories,3,21.35,0.1,57.65,Asia Pacific
95,2024-03-18,C1730,Rug,Home Decor,9,186.97,0.15,1430.32,Europe
96,2021-07-28,C1030,Milk,Grocery,6,16.44,0.15,83.84,Middle East
97,2021-09-03,C105,Bread,Grocery,2,9.81,0.11,17.46,Asia Pacific
98,2023-06-23,C756,Jeans,Clothing,6,38.78,0.08,214.07,Asia Pacific
99,2022-07-20,C1096,Smartwatch,Electronics,4,1496.49,0.0,5985.96,Europe
100,2024-10-07,C984,Dumbbells,Sports,9,201.09,0.28,1303.06,Middle East
101,2021-10-11,C1767,Cricket Bat,Sports,5,158.97,0.11,707.42,Middle East
102,2022-05-08,C830,Lamp,Home Decor,4,159.49,0.16,535.89,North America
103,2023-09-13,C1465,Dumbbells,Sports,7,265.94,0.17,1545.11,Middle East
104,2024-11-12,C923,Smartphone,Electronics,6,879.35,0.16,4431.92,Asia Pacific
105,2021-06-21,C900,Cricket Bat,Sports,5,76.55,0.15,325.34,Europe
106,2022-06-16,C1160,Football,Sports,9,248.76,0.19,1813.46,Middle East
107,2024-08-06,C1540,T-Shirt,Clothing,3,82.08,0.1,221.62,Europe
108,2021-09-28,C1246,Jacket,Clothing,4,147.36,0.02,577.65,Asia Pacific
109,2022-07-10,C1513,Hoodie,Clothing,3,139.26,0.02,409.42,Asia Pacific
110,2023-12-17,C957,Cushion,Home Decor,3,32.31,0.29,68.82,Europe
111,2021-09-27,C301,Rice,Grocery,5,17.48,0.24,66.42,Europe
112,2024-04-05,C495,Yoga Mat,Sports,1,199.33,0.04,191.36,North America
113,2022-03-07,C360,Belt,Accessories,3,37.06,0.08,102.29,Asia Pacific
114,2021-06-02,C812,Novel,Books,4,39.28,0.08,144.55,Asia Pacific
115,2024-04-11,C1605,Magazine,Books,7,22.41,0.25,117.65,North America
116,2022-12-11,C1949,Bread,Grocery,6,18.96,0.18,93.28,Middle East
117,2024-11-14,C1203,Lipstick,Beauty,8,77.95,0.14,536.3,North America
118,2024-06-16,C709,Wall Art,Home Decor,1,55.36,0.0,55.36,North America
119,2022-06-09,C193,Bread,Grocery,6,9.88,0.26,43.87,North America
120,2021-09-07,C1806,Smartwatch,Electronics,3,556.23,0.29,1184.77,Europe
121,2023-10-13,C1274,Serum,Beauty,4,83.3,0.08,306.54,Europe
122,2022-04-13,C777,Belt,Accessories,1,21.96,0.26,16.25,Asia Pacific
123,2023-07-10,C385,Cushion,Home Decor,1,69.1,0.13,60.12,Middle East
124,2023-03-21,C569,Laptop,Electronics,1,348.72,0.09,317.34,North America
125,2023-01-11,C1567,Pasta,Grocery,5,13.36,0.22,52.1,Europe
126,2021-07-30,C1962,Tennis Racket,Sports,5,83.45,0.19,337.97,North America
127,2022-06-17,C1363,Textbook,Books,7,26.44,0.28,133.26,Middle East
128,2023-10-11,C315,Wallet,Accessories,8,7.15,0.21,45.19,Europe
129,2023-09-28,C848,Novel,Books,7,13.23,0.24,70.38,Middle East
130,2022-11-30,C1727,T-Shirt,Clothing,1,61.88,0.19,50.12,Middle East
131,2024-01-05,C1047,Football,Sports,4,256.43,0.24,779.55,North America
132,2021-07-21,C1768,Sunglasses,Accessories,1,35.82,0.01,35.46,Asia Pacific
133,2022-12-25,C1866,Smartwatch,Electronics,8,800.44,0.09,5827.2,Middle East
134,2023-06-23,C799,Jeans,Clothing,9,140.75,0.3,886.72,Europe
135,2024-08-17,C1377,Laptop,Electronics,3,1284.4,0.07,3583.48,Europe
136,2023-03-25,C638,T-Shirt,Clothing,4,55.72,0.14,191.68,Asia Pacific
137,2024-06-07,C1180,Foundation,Beauty,4,111.33,0.17,369.62,Asia Pacific
138,2023-03-07,C1688,Vase,Home Decor,5,83.07,0.01,411.2,North America
139,2022-09-24,C1678,Dumbbells,Sports,6,287.29,0.24,1310.04,Asia Pacific
140,2022-02-13,C382,Smartphone,Electronics,3,923.5,0.26,2050.17,Middle East
141,2023-12-01,C1869,Belt,Accessories,2,79.41,0.18,130.23,Europe
142,2022-01-07,C1510,Lamp,Home Decor,7,130.3,0.11,811.77,Middle East
143,2023-12-03,C1704,Football,Sports,7,146.34,0.09,932.19,Europe
144,2022-01-30,C1662,T-Shirt,Clothing,5,108.94,0.18,446.65,North America
145,2021-07-23,C845,Face Cream,Beauty,2,100.69,0.11,179.23,Middle East
146,2021-05-04,C1763,Comics,Books,7,33.35,0.17,193.76,Middle East
147,2023-02-20,C1253,Notebook,Books,1,22.37,0.24,17.0,North America
148,2023-03-17,C1422,Rice,Grocery,3,3.58,0.14,9.24,Asia Pacific
149,2023-08-25,C955,Jeans,Clothing,5,134.65,0.11,599.19,North America
150,2023-06-23,C1870,Face Cream,Beauty,6,55.16,0.28,238.29,Asia Pacific
151,2024-08-28,C1225,Smartwatch,Electronics,1,668.89,0.01,662.2,North America
152,2021-05-29,C621,Bread,Grocery,6,5.71,0.23,26.38,Middle East
153,2022-01-29,C1699,Face Cream,Beauty,5,36.24,0.07,168.52,Europe
154,2024-10-11,C1384,Dumbbells,Sports,3,258.08,0.21,611.65,Asia Pacific
155,2024-02-26,C1069,Football,Sports,8,143.16,0.08,1053.66,North America
156,2023-10-08,C1227,Eggs,Grocery,9,2.98,0.26,19.85,Middle East
157,2024-12-12,C1185,Serum,Beauty,9,48.03,0.02,423.62,Asia Pacific
158,2022-05-21,C539,Lamp,Home Decor,8,187.96,0.27,1097.69,Asia Pacific
159,2021-12-10,C540,Cricket Bat,Sports,6,10.29,0.06,58.04,Asia Pacific
160,2022-07-30,C1560,Lamp,Home Decor,9,131.71,0.13,1031.29,Middle East
161,2024-02-26,C134,Tablet,Electronics,7,836.92,0.24,4452.41,Middle East
162,2021-10-14,C135,Perfume,Beauty,7,34.84,0.17,202.42,Middle East
163,2022-05-19,C1667,Cricket Bat,Sports,5,23.77,0.12,104.59,Asia Pacific
164,2023-09-24,C1893,Hoodie,Clothing,8,86.76,0.22,541.38,Middle East
165,2024-02-26,C788,Jacket,Clothing,8,120.87,0.29,686.54,Europe
166,2022-03-19,C1961,Face Cream,Beauty,8,49.0,0.03,380.24,North America
167,2024-07-14,C825,Handbag,Accessories,1,30.19,0.09,27.47,Europe
168,2022-06-06,C739,Eggs,Grocery,8,14.82,0.13,103.15,Asia Pacific
169,2024-09-15,C220,Cricket Bat,Sports,5,175.58,0.13,763.77,Middle East
170,2022-05-19,C1810,Foundation,Beauty,1,37.8,0.07,35.15,Middle East
171,2022-11-18,C241,Yoga Mat,Sports,8,181.52,0.13,1263.38,Middle East
172,2024-08-02,C1552,Dress,Clothing,7,63.59,0.2,356.1,Middle East
173,2021-08-23,C1064,Tablet,Electronics,1,618.43,0.05,587.51,Middle East
174,2022-09-11,C1856,Dumbbells,Sports,7,105.63,0.19,598.92,Europe
175,2023-07-06,C1051,T-Shirt,Clothing,8,34.49,0.23,212.46,North America
176,2024-09-07,C933,T-Shirt,Clothing,7,124.33,0.07,809.39,North America
177,2021-10-19,C582,Belt,Accessories,1,53.68,0.1,48.31,Europe
178,2022-04-29,C901,Handbag,Accessories,3,11.08,0.09,30.25,North America
179,2022-10-26,C1118,Cushion,Home Decor,9,158.91,0.03,1387.28,Europe
180,2023-10-13,C760,Perfume,Beauty,4,77.24,0.02,302.78,Europe
181,2024-01-02,C1166,Novel,Books,7,31.76,0.28,160.07,Middle East
182,2024-05-17,C1756,Rice,Grocery,9,13.09,0.09,107.21,Asia Pacific
183,2023-09-29,C169,Serum,Beauty,2,57.32,0.25,85.98,Europe
184,2021-01-31,C1003,Lamp,Home Decor,6,61.11,0.0,366.66,Europe
185,2023-01-24,C1150,Lamp,Home Decor,3,139.56,0.1,376.81,North America
186,2021-12-18,C262,Rice,Grocery,5,11.01,0.13,47.89,North America
187,2023-12-04,C1954,Bread,Grocery,1,2.79,0.17,2.32,Asia Pacific
188,2022-08-29,C882,Magazine,Books,8,38.48,0.08,283.21,North America
189,2024-07-04,C1412,Smartphone,Electronics,1,237.85,0.13,206.93,Middle East
190,2021-11-25,C492,Milk,Grocery,4,11.86,0.26,35.11,Middle East
191,2023-11-15,C923,Bread,Grocery,4,3.33,0.2,10.66,North America
192,2023-04-02,C787,Vase,Home Decor,4,64.36,0.25,193.08,North America
193,2023-06-25,C1412,Comics,Books,1,35.2,0.29,24.99,Asia Pacific
194,2024-08-22,C1982,Serum,Beauty,2,42.75,0.16,71.82,North America
195,2024-06-24,C208,Jeans,Clothing,3,125.16,0.25,281.61,Europe
196,2021-04-17,C247,T-Shirt,Clothing,8,76.4,0.02,598.98,Middle East
197,2021-03-29,C178,Headphones,Electronics,2,648.21,0.24,985.28,Middle East
198,2024-11-03,C1456,Dumbbells,Sports,9,145.41,0.15,1112.39,Asia Pacific
199,2022-04-06,C366,Rice,Grocery,5,2.14,0.26,7.92,Asia Pacific
200,2024-04-10,C782,Notebook,Books,9,9.95,0.24,68.06,Europe
201,2023-02-25,C1711,Face Cream,Beauty,1,60.8,0.3,42.56,Asia Pacific
202,2022-07-11,C1528,T-Shirt,Clothing,8,76.64,0.28,441.45,Asia Pacific
203,2023-05-08,C981,Eggs,Grocery,3,7.25,0.03,21.1,North America
204,2023-05-12,C1782,Vase,Home Decor,9,53.24,0.0,479.16,North America
205,2021-06-08,C212,Rice,Grocery,2,7.05,0.25,10.57,Europe
206,2024-04-22,C757,Tablet,Electronics,3,545.61,0.11,1456.78,Europe
207,2022-10-22,C1485,Cricket Bat,Sports,9,111.25,0.26,740.92,North America
208,2023-02-24,C1096,Tennis Racket,Sports,8,25.64,0.2,164.1,North America
209,2022-10-19,C634,Wallet,Accessories,1,19.04,0.15,16.18,Asia Pacific
210,2022-02-01,C1026,Rice,Grocery,9,2.44,0.05,20.86,Middle East
211,2024-08-04,C286,Jacket,Clothing,7,147.57,0.07,960.68,Asia Pacific
212,2023-02-20,C1650,Wall Art,Home Decor,8,119.0,0.09,866.32,Asia Pacific
213,2024-01-28,C1783,Sunglasses,Accessories,9,45.99,0.0,413.91,Asia Pacific
214,2021-08-30,C255,Belt,Accessories,4,35.46,0.17,117.73,Asia Pacific
215,2023-07-28,C1125,Yoga Mat,Sports,5,244.56,0.05,1161.66,Middle East
216,2024-09-06,C1946,Hoodie,Clothing,2,55.18,0.3,77.25,North America
217,2024-06-02,C1201,Comics,Books,8,33.76,0.29,191.76,Europe
218,2023-04-02,C1126,Eggs,Grocery,8,12.55,0.25,75.3,Europe
219,2023-07-06,C1584,Jeans,Clothing,8,91.37,0.05,694.41,North America
220,2022-01-27,C1253,Notebook,Books,4,36.56,0.22,114.07,Middle East
221,2022-04-07,C1825,Tablet,Electronics,5,851.2,0.05,4043.2,North America
222,2022-07-10,C164,Eggs,Grocery,3,2.01,0.26,4.46,Europe
223,2021-01-17,C128,Handbag,Accessories,2,12.24,0.11,21.79,Asia Pacific
224,2024-03-17,C1729,Dumbbells,Sports,7,163.2,0.12,1005.31,North America
225,2021-10-06,C1854,Vase,Home Decor,9,46.33,0.14,358.59,Asia Pacific
226,2021-10-19,C1287,Belt,Accessories,9,17.83,0.3,112.33,Europe
227,2023-11-13,C710,Smartphone,Electronics,3,998.58,0.06,2816.0,Middle East
228,2021-08-31,C865,Novel,Books,5,21.53,0.17,89.35,Middle East
229,2022-01-28,C1949,Vase,Home Decor,6,155.54,0.15,793.25,North America
230,2023-09-25,C1711,Sunglasses,Accessories,2,27.12,0.12,47.73,Middle East
231,2024-11-05,C981,Magazine,Books,4,15.08,0.09,54.89,Europe
232,2024-12-25,C1436,Pasta,Grocery,8,3.44,0.06,25.87,North America
233,2024-05-09,C466,Yoga Mat,Sports,8,299.41,0.26,1772.51,Asia Pacific
234,2023-01-13,C672,Pasta,Grocery,6,10.96,0.13,57.21,Europe
235,2024-12-02,C400,T-Shirt,Clothing,2,91.67,0.08,168.67,North America
236,2021-08-15,C922,Hoodie,Clothing,1,20.43,0.23,15.73,North America
237,2023-08-09,C435,Novel,Books,4,21.21,0.01,83.99,North America
238,2023-03-10,C1609,Jeans,Clothing,2,122.02,0.13,212.31,North America
239,2021-12-26,C963,Serum,Beauty,1,29.99,0.27,21.89,Europe
240,2023-01-10,C852,Textbook,Books,5,17.2,0.27,62.78,North America
241,2024-10-23,C878,Tennis Racket,Sports,9,202.04,0.0,1818.36,North America
242,2023-09-18,C1029,Textbook,Books,1,26.04,0.15,22.13,North America
243,2024-10-13,C242,Pasta,Grocery,7,12.12,0.21,67.02,Europe
244,2021-10-14,C941,Novel,Books,6,9.2,0.11,49.13,Middle East
245,2021-05-23,C1457,Cap,Accessories,4,36.84,0.22,114.94,Middle East
246,2022-08-07,C698,Face Cream,Beauty,4,13.81,0.26,40.88,Europe
247,2023-12-03,C533,Wall Art,Home Decor,3,149.87,0.26,332.71,Asia Pacific
248,2023-02-04,C941,Tennis Racket,Sports,7,98.78,0.01,684.55,North America
249,2023-06-21,C362,Wallet,Accessories,8,59.32,0.18,389.14,North America
250,2023-01-28,C983,Jacket,Clothing,5,105.48,0.21,416.65,Asia Pacific
251,2022-08-02,C229,Hoodie,Clothing,2,53.7,0.03,104.18,Europe
252,2021-07-02,C1338,Lipstick,Beauty,8,111.88,0.04,859.24,Asia Pacific
253,2022-09-27,C160,Magazine,Books,1,21.49,0.15,18.27,Asia Pacific
254,2023-07-11,C966,Cricket Bat,Sports,2,109.35,0.05,207.76,Middle East
255,2021-02-15,C1061,Hoodie,Clothing,6,147.19,0.04,847.81,North America
256,2021-08-08,C582,Jacket,Clothing,7,111.46,0.03,756.81,Asia Pacific
257,2023-02-20,C289,Eggs,Grocery,8,7.38,0.18,48.41,Middle East
258,2021-01-14,C1646,Football,Sports,2,214.17,0.23,329.82,Europe
259,2023-02-02,C311,Handbag,Accessories,3,39.77,0.19,96.64,Europe
260,2024-11-12,C1298,Bread,Grocery,7,3.11,0.29,15.46,North America
261,2023-04-02,C1879,Tablet,Electronics,6,533.77,0.22,2498.04,Middle East
262,2024-10-12,C816,Smartwatch,Electronics,5,1428.87,0.15,6072.7,Asia Pacific
263,2022-01-25,C1422,Vase,Home Decor,1,97.5,0.22,76.05,Europe
264,2024-09-06,C704,Wallet,Accessories,9,19.42,0.21,138.08,Asia Pacific
265,2022-05-05,C1897,Laptop,Electronics,3,1136.73,0.28,2455.34,North America
266,2021-03-05,C1479,Dumbbells,Sports,7,78.62,0.27,401.75,North America
267,2021-09-14,C1480,Magazine,Books,7,20.06,0.12,123.57,Asia Pacific
268,2023-08-30,C1707,Dress,Clothing,2,104.29,0.16,175.21,Asia Pacific
269,2023-12-25,C1850,Smartwatch,Electronics,3,375.8,0.04,1082.3,North America
270,2022-03-11,C1742,Notebook,Books,7,11.58,0.16,68.09,Europe
271,2023-08-20,C336,Vase,Home Decor,5,134.08,0.09,610.06,Asia Pacific
272,2023-05-29,C1676,Comics,Books,4,28.9,0.14,99.42,Asia Pacific
273,2021-04-17,C1265,Milk,Grocery,3,8.86,0.04,25.52,North America
274,2021-12-29,C999,Milk,Grocery,6,3.18,0.02,18.7,Middle East
275,2022-09-25,C764,Rug,Home Decor,6,87.24,0.29,371.64,Asia Pacific
276,2021-06-30,C400,Smartwatch,Electronics,9,403.66,0.17,3015.34,Middle East
277,2021-08-07,C1266,Foundation,Beauty,4,91.0,0.26,269.36,North America
278,2022-05-10,C616,Cap,Accessories,8,12.15,0.22,75.82,Middle East
279,2023-07-28,C932,Tablet,Electronics,6,1093.61,0.16,5511.79,Asia Pacific
280,2021-07-08,C1670,Magazine,Books,4,36.74,0.09,133.73,Asia Pacific
281,2024-07-09,C918,Notebook,Books,8,17.8,0.27,103.95,Europe
282,2022-08-30,C1550,Magazine,Books,3,22.19,0.06,62.58,North America
283,2024-07-12,C1170,Jeans,Clothing,3,95.96,0.13,250.46,North America
284,2021-07-24,C939,Comics,Books,4,19.81,0.24,60.22,Middle East
285,2022-09-15,C1673,Dumbbells,Sports,6,76.43,0.02,449.41,Europe
286,2024-03-27,C781,Tennis Racket,Sports,5,244.46,0.19,990.06,Europe
287,2021-07-16,C1925,Foundation,Beauty,7,64.51,0.04,433.51,Asia Pacific
288,2022-01-21,C1729,Vase,Home Decor,7,73.86,0.04,496.34,Europe
289,2022-06-16,C585,Foundation,Beauty,3,92.38,0.06,260.51,Asia Pacific
290,2023-05-16,C1688,Hoodie,Clothing,9,41.07,0.14,317.88,Asia Pacific
291,2024-08-14,C1211,Headphones,Electronics,3,1197.87,0.07,3342.06,Asia Pacific
292,2024-01-03,C289,Lipstick,Beauty,2,36.86,0.22,57.5,Asia Pacific
293,2023-08-21,C702,Cap,Accessories,8,43.44,0.25,260.64,North America
294,2021-09-03,C1870,Serum,Beauty,6,47.99,0.21,227.47,North America
295,2021-08-25,C334,Bread,Grocery,6,10.06,0.1,54.32,Asia Pacific
296,2022-03-24,C444,Lamp,Home Decor,1,131.92,0.24,100.26,Asia Pacific
297,2024-03-07,C333,Yoga Mat,Sports,6,45.12,0.26,200.33,Asia Pacific
298,2022-04-21,C1980,Rice,Grocery,5,15.26,0.13,66.38,North America
299,2021-07-03,C1624,Tablet,Electronics,5,586.14,0.1,2637.63,Middle East
300,2023-05-29,C602,Textbook,Books,8,23.89,0.01,189.21,Middle East
301,2023-09-02,C1930,Perfume,Beauty,3,118.35,0.19,287.59,Middle East
302,2024-04-10,C140,Smartwatch,Electronics,9,373.17,0.27,2451.73,Asia Pacific
303,2024-04-16,C1365,Tennis Racket,Sports,4,200.71,0.2,642.27,North America
304,2024-08-01,C1733,Vase,Home Decor,8,150.58,0.06,1132.36,Europe
305,2021-09-25,C310,Headphones,Electronics,5,542.25,0.22,2114.78,North America
306,2022-04-19,C634,T-Shirt,Clothing,3,77.77,0.27,170.32,North America
307,2024-01-29,C1211,Novel,Books,5,8.82,0.17,36.6,North America
308,2021-12-20,C586,Serum,Beauty,4,34.79,0.0,139.16,Asia Pacific
309,2024-01-06,C15,Face Cream,Beauty,5,34.05,0.07,158.33,Asia Pacific
310,2023-08-14,C256,Lipstick,Beauty,8,82.0,0.15,557.6,Europe
311,2021-11-16,C1386,Eggs,Grocery,8,7.35,0.22,45.86,North America
312,2023-10-14,C247,Textbook,Books,9,10.87,0.19,79.24,North America
313,2024-05-10,C294,Tennis Racket,Sports,6,38.12,0.19,185.26,Europe
314,2021-12-19,C625,Headphones,Electronics,9,482.99,0.08,3999.16,North America
315,2021-05-23,C444,Perfume,Beauty,2,100.1,0.2,160.16,Middle East
316,2021-12-25,C1841,Dress,Clothing,7,127.61,0.12,786.08,Europe
317,2023-02-25,C691,Foundation,Beauty,9,13.03,0.19,94.99,Middle East
318,2022-06-21,C440,Headphones,Electronics,1,1177.18,0.06,1106.55,Asia Pacific
319,2022-08-13,C685,Jacket,Clothing,8,77.28,0.03,599.69,Middle East
320,2024-12-23,C1939,Lipstick,Beauty,6,47.62,0.05,271.43,North America
321,2024-03-21,C805,Smartphone,Electronics,9,545.47,0.17,4074.66,Asia Pacific
322,2021-10-21,C1191,Rug,Home Decor,2,70.87,0.2,113.39,Asia Pacific
323,2022-09-04,C1254,Jeans,Clothing,8,112.53,0.27,657.18,Asia Pacific
324,2024-01-30,C124,Lamp,Home Decor,1,49.84,0.04,47.85,Middle East
325,2023-07-08,C1029,Magazine,Books,2,30.3,0.01,59.99,Europe
326,2022-02-01,C739,Cricket Bat,Sports,9,120.76,0.11,967.29,Middle East
327,2024-02-28,C789,Laptop,Electronics,6,596.73,0.02,3508.77,North America
328,2023-10-01,C1786,Milk,Grocery,9,12.48,0.04,107.83,Europe
329,2022-02-12,C894,Tennis Racket,Sports,8,218.96,0.04,1681.61,Asia Pacific
330,2021-04-13,C377,Notebook,Books,7,20.69,0.15,123.11,North America
331,2021-04-20,C868,Handbag,Accessories,9,28.63,0.26,190.68,North America
332,2022-11-20,C296,Smartwatch,Electronics,1,392.0,0.28,282.24,Europe
333,2023-03-26,C902,Headphones,Electronics,9,1045.63,0.18,7716.75,Europe
